dataset,class,k_shot,task,mode,auroc,semantic_auroc,memory_auroc,gap,oracle_semantic_ratio,oracle_memory_ratio
visa,pcb3,2,seg,max,95.40766167537687,87.0651776428467,95.40766167537687,8.342484032530166,,
visa,pcb3,2,seg,harmonic,93.90657996683758,85.69535111827389,93.90657996683758,8.211228848563692,,
visa,pcb3,2,seg,oracle,95.40766167537687,87.0651776428467,95.40766167537687,8.342484032530166,,
visa,chewinggum,2,cls,semantic,95.96123260437376,,,,,
visa,chewinggum,2,cls,memory,95.12922465208747,,,,,
visa,chewinggum,2,cls,max,95.96123260437376,95.96123260437376,95.12922465208747,0.0,,
visa,chewinggum,2,cls,harmonic,95.42942345924452,95.96123260437376,95.12922465208747,-0.5318091451292362,,
visa,chewinggum,2,cls,oracle,100.0,95.96123260437376,95.12922465208747,4.038767395626241,16.58374792703151,83.41625207296849
visa,cashew,4,seg,semantic,95.29732625458233,,,,,
visa,cashew,4,seg,memory,87.98799532072339,,,,,
visa,cashew,4,seg,max,95.29732625458233,95.29732625458233,29.899785731146128,65.3975405234362,,
visa,cashew,4,seg,harmonic,91.95445375955818,91.95445375955818,28.850950729618916,63.10350302993926,,
visa,cashew,4,seg,oracle,95.29732625458233,95.29732625458233,29.899785731146128,65.3975405234362,,
visa,pcb4,4,cls,semantic,80.1582089552239,,,,,
visa,pcb4,4,cls,memory,86.37114427860698,,,,,
visa,pcb4,4,cls,max,86.39850746268657,80.1582089552239,86.37114427860698,0.02736318407959848,,
visa,pcb4,4,cls,harmonic,88.25273631840795,80.1582089552239,86.37114427860698,1.8815920398009833,,
visa,pcb4,4,cls,oracle,99.95124378109452,80.1582089552239,86.37114427860698,13.580099502487553,87.14932126696833,12.850678733031673
visa,chewinggum,4,seg,semantic,98.60818401428615,,,,,
visa,chewinggum,4,seg,memory,96.91984083241054,,,,,
visa,chewinggum,4,seg,max,99.14072243994568,80.21547643182058,99.14072243994568,18.9252460081251,,
visa,chewinggum,4,seg,harmonic,99.60949826594236,80.59476634717117,99.60949826594236,19.01473191877119,,
visa,chewinggum,4,seg,oracle,99.14072243994568,80.21547643182058,99.14072243994568,18.9252460081251,,
visa,pcb3,4,cls,semantic,72.05318091451292,,,,,
visa,pcb3,4,cls,memory,80.17296222664017,,,,,
visa,pcb3,4,cls,max,81.93041749502983,72.05318091451292,80.17296222664017,1.7574552683896627,,
visa,pcb3,4,cls,harmonic,81.47962226640159,72.05318091451292,80.17296222664017,1.3066600397614203,,
visa,pcb3,4,cls,oracle,97.37972166998013,72.05318091451292,80.17296222664017,17.20675944333996,17.269439421338156,82.73056057866185
visa,macaroni2,4,seg,semantic,93.76848564221613,,,,,
visa,macaroni2,4,seg,memory,91.51984522372777,,,,,
visa,macaroni2,4,seg,max,94.84360115921771,94.84360115921771,74.80911936040694,20.034481798810774,,
visa,macaroni2,4,seg,harmonic,94.95689610805525,94.95689610805525,74.89848221933393,20.05841388872132,,
visa,macaroni2,4,seg,oracle,94.84360115921771,94.84360115921771,74.80911936040694,20.034481798810774,,
visa,fryum,4,seg,semantic,93.4951243688127,,,,,
visa,fryum,4,seg,memory,95.10369002750775,,,,,
visa,fryum,4,seg,max,96.01561875546122,86.31297714763875,96.01561875546122,9.702641607822471,,
visa,fryum,4,seg,harmonic,97.23277907361725,87.40714007745936,97.23277907361725,9.825638996157892,,
visa,fryum,4,seg,oracle,96.01561875546122,86.31297714763875,96.01561875546122,9.702641607822471,,
visa,macaroni2,4,cls,semantic,63.1125,,,,,
visa,macaroni2,4,cls,memory,73.26400000000001,,,,,
visa,macaroni2,4,cls,max,73.2415,63.1125,73.26400000000001,-0.022500000000003073,,
visa,macaroni2,4,cls,harmonic,71.03599999999999,63.1125,73.26400000000001,-2.228000000000019,,
visa,macaroni2,4,cls,oracle,99.9885,63.1125,73.26400000000001,26.724499999999995,90.54545454545455,9.454545454545455
visa,capsules,4,cls,semantic,57.80813953488373,,,,,
visa,capsules,4,cls,memory,70.27906976744187,,,,,
visa,capsules,4,cls,max,70.1295681063123,57.80813953488373,70.27906976744187,-0.14950166112956964,,
visa,capsules,4,cls,harmonic,70.19186046511628,57.80813953488373,70.27906976744187,-0.0872093023255971,,
visa,capsules,4,cls,oracle,100.0,57.80813953488373,70.27906976744187,29.72093023255813,85.18518518518519,14.814814814814813
visa,candle,4,cls,semantic,95.113,,,,,
visa,candle,4,cls,memory,86.07849999999999,,,,,
visa,candle,4,cls,max,95.113,95.113,86.07849999999999,0.0,,
visa,candle,4,cls,harmonic,86.81949999999999,95.113,86.07849999999999,-8.293500000000009,,
visa,candle,4,cls,oracle,100.0,95.113,86.07849999999999,4.886999999999997,9.090909090909092,90.9090909090909
visa,pcb4,4,seg,semantic,93.37090834519978,,,,,
visa,pcb4,4,seg,memory,93.20029874970362,,,,,
visa,pcb4,4,seg,max,97.9433273780934,65.56300793435463,97.9433273780934,32.38031944373877,,
visa,pcb4,4,seg,harmonic,97.88581897773484,65.52451196112263,97.88581897773484,32.361307016612216,,
visa,pcb4,4,seg,oracle,97.9433273780934,65.56300793435463,97.9433273780934,32.38031944373877,,
visa,pipe_fryum,4,seg,semantic,98.92619965244002,,,,,
visa,pipe_fryum,4,seg,memory,99.54291654118663,,,,,
visa,pipe_fryum,4,seg,max,99.54223917493839,27.696622132372553,99.54223917493839,71.84561704256583,,
visa,pipe_fryum,4,seg,harmonic,99.56919497537604,27.704122311444124,99.56919497537604,71.86507266393191,,
visa,pipe_fryum,4,seg,oracle,99.54223917493839,27.696622132372553,99.54223917493839,71.84561704256583,,
visa,capsules,4,seg,semantic,61.5407139706039,,,,,
visa,capsules,4,seg,memory,95.63333566280143,,,,,
visa,capsules,4,seg,max,95.631540283649,19.42550424127717,95.631540283649,76.20603604237184,,
visa,capsules,4,seg,harmonic,66.09944227315965,13.426689483562132,66.09944227315965,52.672752789597524,,
visa,capsules,4,seg,oracle,95.631540283649,19.42550424127717,95.631540283649,76.20603604237184,,
visa,pcb1,4,cls,semantic,91.1269920318725,,,,,
visa,pcb1,4,cls,memory,93.67529880478087,,,,,
visa,pcb1,4,cls,max,93.63645418326693,91.1269920318725,93.67529880478087,-0.03884462151393375,,
visa,pcb1,4,cls,harmonic,95.04631474103587,91.1269920318725,93.67529880478087,1.3710159362549934,,
visa,pcb1,4,cls,oracle,99.93276892430279,91.1269920318725,93.67529880478087,6.2574701195219244,74.54710144927536,25.45289855072464
visa,macaroni1,4,cls,semantic,83.7295,,,,,
visa,macaroni1,4,cls,memory,83.534,,,,,
visa,macaroni1,4,cls,max,83.5685,83.7295,83.534,-0.16100000000000003,,
visa,macaroni1,4,cls,harmonic,87.2345,83.7295,83.534,3.5049999999999915,,
visa,macaroni1,4,cls,oracle,100.0,83.7295,83.534,16.2705,90.54545454545455,9.454545454545455
visa,pcb2,4,seg,semantic,89.55996482331987,,,,,
visa,pcb2,4,seg,memory,84.44882799105213,,,,,
visa,pcb2,4,seg,max,94.85184299646396,94.85184299646396,78.79775382933752,16.054089167126435,,
visa,pcb2,4,seg,harmonic,93.63832377886925,93.63832377886925,77.78962804543723,15.848695733432024,,
visa,pcb2,4,seg,oracle,94.85184299646396,94.85184299646396,78.79775382933752,16.054089167126435,,
visa,fryum,4,cls,semantic,76.88600000000001,,,,,
visa,fryum,4,cls,memory,88.99600000000001,,,,,
visa,fryum,4,cls,max,90.104,76.88600000000001,88.99600000000001,1.1079999999999868,,
